station_id,name,province,lat,lon,dataset_version,zip_member
1093599,HORSEFLY BCFS,BC,52.33333333,-121.4166667,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_109_BC_1093599_HORSEFLY_BCFS.txt
1094125,KERSLEY,BC,52.81666667,-122.3666667,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_109_BC_1094125_KERSLEY.txt
1094948,MCBRIDE ELDER CREEK,BC,53.42338889,-120.3526667,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_109_BC_1094948_MCBRIDE_ELDER_CREEK.txt
1094955,MCBRIDE NORTH,BC,53.36666667,-120.25,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_109_BC_1094955_MCBRIDE_NORTH.txt
1096453,PRINCE GEORGE AIRPORT AUTO,BC,53.88888889,-122.671945,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_109_BC_1096453_PRINCE_GEORGE_AIRPORT_AUTO.txt
1098940,WILLIAMS LAKE A,BC,52.18305556,-122.0541667,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_109_BC_1098940_WILLIAMS_LAKE_A.txt
1100030,ABBOTSFORD A,BC,49.02527778,-122.36,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1100030_ABBOTSFORD_A.txt
1100119,AGASSIZ RCS,BC,49.24305556,-121.7602778,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1100119_AGASSIZ_RCS.txt
1100360,ALOUETTE LAKE,BC,49.28333333,-122.4833333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1100360_ALOUETTE_LAKE.txt
1100875,WHISTLER - NESTERS,BC,50.12894444,-122.9546111,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1100875_WHISTLER_-_NESTERS.txt
1101140,BUNTZEN LAKE,BC,49.38333333,-122.8666667,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1101140_BUNTZEN_LAKE.txt
1101562,CHILLIWACK MICROWAVE,BC,49.11666667,-121.9,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1101562_CHILLIWACK_MICROWAVE.txt
1101890,COQUITLAM LAKE,BC,49.36666667,-122.8,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1101890_COQUITLAM_LAKE.txt
1102415,DELTA BURNS BOG,BC,49.12584806,-123.0022458,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1102415_DELTA_BURNS_BOG.txt
1103328,HANEY MICROWAVE,BC,49.2,-122.5166667,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1103328_HANEY_MICROWAVE.txt
1103332,HANEY UBC RF ADMIN,BC,49.26447222,-122.5731667,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1103332_HANEY_UBC_RF_ADMIN.txt
1103636,HUNTINGDON VYE ROAD,BC,49.03333333,-122.2,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1103636_HUNTINGDON_VYE_ROAD.txt
1104555,LANGLEY LOCHIEL,BC,49.05,-122.5833333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1104555_LANGLEY_LOCHIEL.txt
1105192,MISSION WEST ABBEY,BC,49.15250056,-122.2705558,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1105192_MISSION_WEST_ABBEY.txt
1105660,N VANCOUVER LYNN CREEK,BC,49.36666667,-123.0333333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1105660_N_VANCOUVER_LYNN_CREEK.txt
1106178,PITT MEADOWS CS,BC,49.20832333,-122.6900211,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1106178_PITT_MEADOWS_CS.txt
1106180,PITT POLDER,BC,49.27322222,-122.6306111,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1106180_PITT_POLDER.txt
1106256,PORT COQUITLAM CITY YARD,BC,49.26666667,-122.7833333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1106256_PORT_COQUITLAM_CITY_YARD.txt
1106CL2,PORT MOODY GLENAYRE,BC,49.27916667,-122.8813889,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1106CL2_PORT_MOODY_GLENAYRE.txt
1107873,SURREY KWANTLEN PARK,BC,49.19222222,-122.8597361,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_110_BC_1107873_SURREY_KWANTLEN_PARK.txt
